AffiliationId,NormalizedName,DisplayName,Rank
36152291,henan university of technology,Henan University of Technology,9970
37415318,bates college,Bates College,10792
38007976,de lin institute of technology,De Lin Institute of Technology,12687
38574745,amp capital,AMP Capital,17909
39553462,national university of san juan,National University of San Juan,11115
43518871,national kaohsiung marine university,National Kaohsiung Marine University,11057
46520130,chaohu university,Chaohu University,13293
48350267,central japan railway company,Central Japan Railway Company,12959
51205905,kedge business school,KEDGE Business School,11928
51993856,cri,CRI,15835
60158472,concordia university,Concordia University,7993
60341648,the evergreen state college,The Evergreen State College,11734
60922557,upper iowa university,Upper Iowa University,13984
67868205,hanoi university of science,Hanoi University of Science,11506
68243183,institute of molecular biology and genetics of nasu,Institute of Molecular Biology and Genetics of NASU,15543
73650269,nomura research institute,Nomura Research Institute,13251
74813324,mekelle university,Mekelle University,9709
75522678,tokyo university of science yamaguchi,"Tokyo University of Science, Yamaguchi",12718
79619799,university of birmingham,University of Birmingham,6399
90060838,africa rice center,Africa Rice Center,12508
98905743,kastamonu university,Kastamonu University,11952
99418890,northwestern polytechnic university,Northwestern Polytechnic University,11590
100417612,cj cheiljedang,CJ CheilJedang,12318
100801824,madras institute of technology,Madras Institute of Technology,12100
109780856,argosy university,Argosy University,12735
118073183,meharry medical college,Meharry Medical College,10426
119234918,university of northern iowa,University of Northern Iowa,10239
124726342,hong duc university,Hong Duc University,13727
125968788,norwegian geotechnical institute,Norwegian Geotechnical Institute,11265
136605902,royal college of music,Royal College of Music,13782
142899784,university of sfax,University of Sfax,9748
144302436,rijkswaterstaat,Rijkswaterstaat,11939
148212101,new era university,New Era University,15784
149899117,max planck society,Max Planck Society,5030
156762387,addis continental institute of public health,Addis Continental Institute of Public Health,13278
156802259,eastern virginia medical school,Eastern Virginia Medical School,9116
166382143,moscow state university of printing arts,Moscow State University of Printing Arts,14991
180498684,metropolitan university prague,Metropolitan University Prague,14163
183003952,ilia state university,Ilia State University,10694
187521650,county college of morris,County College of Morris,15119
197358716,wirral metropolitan college,Wirral Metropolitan College,15623
199440890,american university of sharjah,American University of Sharjah,10363
200492978,coimbatore institute of technology,Coimbatore Institute of Technology,11944
206192294,center for european integration studies,Center for European Integration Studies,14209
221092938,krishna university,Krishna University,13143
236957219,notre dame seishin university,Notre Dame Seishin University,13688
243062068,mahle powertrain,MAHLE Powertrain,13566
261911118,bahrain petroleum company,Bahrain Petroleum Company,15117
292141241,munich school of philosophy,Munich School of Philosophy,15207
861081372,selkirk college,Selkirk College,15184
884084634,john snow inc,"John Snow, Inc",12392
887689190,axioma,Axioma,14427
896284681,fcm travel solutions,FCm Travel Solutions,15498
1281389954,foundation for innovative new diagnostics,Foundation for Innovative New Diagnostics,11676
1283532917,american refugee committee,American Refugee Committee,15623
1285269432,el economista,El Economista,13311
1302598760,national ffa organization,National FFA Organization,16018
1304256225,university of wisconsin system,University of Wisconsin System,12090
1312846040,directorate general of traffic,Directorate General of Traffic,14612
1313967475,american academy of arts and sciences,American Academy of Arts and Sciences,12069
1314284307,wiley vch,Wiley-VCH,13142
1315677300,puerto rico department of natural and environmental resources,Puerto Rico Department of Natural and Environmental Resources,15786
1318101084,integris baptist medical center,Integris Baptist Medical Center,12368
1319467667,southern education and library board,Southern Education and Library Board,12292
1321067030,zoological society of london,Zoological Society of London,9697
1321573313,chesapeake regional medical center,Chesapeake Regional Medical Center,14158
1329578906,wwf india,WWF-India,14041
1335486098,electric power research institute,Electric Power Research Institute,8644
2799756090,columbus zoo and aquarium,Columbus Zoo and Aquarium,15154
2799891779,archaeological conservancy,Archaeological Conservancy,17546
2800102685,santosh university,Santosh University,14989
2800215711,robina hospital,Robina Hospital,15545
2800363604,walter reed national military medical center,Walter Reed National Military Medical Center,10636
2800464100,birmingham community healthcare nhs trust,Birmingham Community Healthcare NHS Trust,14464
2800486126,central norway regional health authority,Central Norway Regional Health Authority,14649
2800557468,utah state university eastern,Utah State University Eastern,15684
2800616835,engineers without borders canada,Engineers Without Borders Canada,17588
2800620092,sarojini devi eye hospital,Sarojini Devi Eye Hospital,15338
2800842210,carter bloodcare,Carter BloodCare,15336
2800941145,umrao hospital,Umrao Hospital,18677
2801005815,egyptian e learning university,Egyptian e-Learning University,15159
2801163536,west herts college,West Herts College,18713
2801285164,grantham hospital,Grantham Hospital,12127
2801376285,scott community college,Scott Community College,17401
2801911633,king fahd medical city,King Fahd Medical City,13026
2802005960,society for modeling and simulation international,Society for Modeling and Simulation International,17082
2802056670,seasteading institute,Seasteading Institute,18034
2802308956,raffles college of design and commerce,Raffles College of Design and Commerce,18066
2802356059,tsuen wan adventist hospital,Tsuen Wan Adventist Hospital,17270
2802542201,odessa college,Odessa College,15601
2802681329,wekerle business school,Wekerle Business School,18510
2802814319,northern hospital,Northern Hospital,11479
2802983449,centre for life,Centre for Life,10935
2803094843,central board of secondary education,Central Board of Secondary Education,18363
2911870961,takaoka university of law,Takaoka University of Law,19473
596593,society for the psychological study of social issues,Society for the Psychological Study of Social Issues,14120
9508535,arkansas tech university,Arkansas Tech University,12545
12240146,australian institute of sport,Australian Institute of Sport,10917
12367965,ariad pharmaceuticals inc,"ARIAD Pharmaceuticals, Inc.",11568
25112270,federal university of pernambuco,Federal University of Pernambuco,8506
27941296,sahmyook university,Sahmyook University,11702
34625448,m h saboo siddik college of engineering,M. H. Saboo Siddik College of Engineering,15248
36786129,fluke corporation,Fluke Corporation,12089
38182162,northwest vista college,Northwest Vista College,15246
41641357,ege university,Ege University,8539
47141704,daewoong pharmaceutical co ltd,"Daewoong Pharmaceutical Co., Ltd",13497
49439280,kyrgyz national university,Kyrgyz National University,14445
51195161,emlyon business school,EMLYON Business School,11457
56016603,m kumarasamy college of engineering,M. Kumarasamy College of Engineering,13316
58422712,international livestock research institute,International Livestock Research Institute,10260
65571275,concord university,Concord University,13724
66809481,southern cross university,Southern Cross University,9758
71564117,murray edwards college,Murray Edwards College,13911
72023434,doshisha women s college of liberal arts,Doshisha Women's College of Liberal Arts,12263
75900474,hubei university,Hubei University,9285
77697173,federal reserve bank of chicago,Federal Reserve Bank of Chicago,10742
78613837,institute of technical education,Institute of Technical Education,16541
79940851,university of brescia,University of Brescia,8344
88268686,national aviation academy,National Aviation Academy,14900
89020219,tokyo kasei gakuin university,Tokyo Kasei-Gakuin University,13594
90656587,national bank of poland,National Bank of Poland,12472
95056601,actelion,Actelion,11165
97187500,cubist pharmaceuticals,Cubist Pharmaceuticals,11369
99383213,indian institute of plantation management,Indian Institute of Plantation Management,15314
102335020,karlsruhe institute of technology,Karlsruhe Institute of Technology,7006
111381250,hebei medical university,Hebei Medical University,9431
114650741,chechen state university,Chechen State University,13606
114668607,university of applied sciences hof,University of Applied Sciences Hof,15358
120825670,yunnan normal university,Yunnan Normal University,10271
122274255,space telescope european coordinating facility,Space Telescope European Coordinating Facility,11593
123665430,shri b m patil medical college,Shri B. M. Patil Medical College,13314
125133608,royal bank of canada,Royal Bank of Canada,13599
126533617,alliant international university,Alliant International University,10603
128241164,j mack robinson college of business,J. Mack Robinson College of Business,10869
131863948,mie prefectural college of nursing,Mie Prefectural College of Nursing,13859
134784518,institute of business administration karachi,"Institute of Business Administration, Karachi",13715
135277319,public power corporation of greece,Public Power Corporation of Greece,14866
136761661,institut pasteur korea,Institut Pasteur Korea,12182
