Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
"advances in science, technology and engineering systems",False,"Advances in Science, Technology and Engineering Systems",2415-6698,2019-06-29,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
advances in theoretical and applied mechanics,False,Advances in Theoretical and Applied Mechanics,1313-6550,2015-04-02,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
adıyaman university international journal of social science,False,Adıyaman University International Journal of Social Science,1308-7363,2017-09-05,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
aemaet,False,Aemaet,2195-173X,2017-01-18,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
african journal of agricultural research,False,African Journal of Agricultural Research,1991-637X,2016-09-06,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
african journal of biotechnology,False,African Journal of Biotechnology,1684-5315,2016-09-06,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
african journal of business management,False,African Journal of Business Management,1993-8233,2016-09-06,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
african journal of pharmacy and pharmacology,False,African Journal of Pharmacy and Pharmacology,1996-0816,2016-09-06,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
african review of physics,False,African Review of Physics,2223-6589,2017-01-31,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
africology: the journal of pan african studies,False,Africology: The Journal of Pan African Studies,0888-6601,2017-07-04,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
afrikanistik online,False,Afrikanistik Online,1860-7462,2017-01-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
aglala,False,Aglala,2215-7360,2020-05-07,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
agriculturae conspectus scientificus,False,Agriculturae Conspectus Scientificus,1331-7768,2017-01-21,1677-09-22,no licence,DOAJ,,interesting reason
agricultural engineering international : the cigr e-journal,False,Agricultural Engineering International : The CIGR e-journal,1682-1130,2017-02-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
agricultural sciences,False,Agricultural Sciences," 2156-8553, 2156-8561",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
agris,False,AGRIS,1804-1930,2017-02-11,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
agrotrop: journal on agriculture science,False,Agrotrop: Journal on Agriculture Science,2654-4008,2022-03-17,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
agrovigor,False,Agrovigor,1979-5777,2019-05-31,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
agrárinformatika folyóirat,False,Agrárinformatika Folyóirat,2061-862X,2017-07-12,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
ajit-e : online academic journal of information technology,False,AJIT-e : Online Academic Journal of Information Technology,1309-1581,2017-04-04,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
akademik lncelemeler dergisi,False,Akademik lncelemeler Dergisi,1306-7885,2020-02-27,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
aktuální gynekologie a porodnictví,False,Aktuální Gynekologie a Porodnictví,1803-9588,2017-06-26,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
al-balagh: jurnal dakwah dan komunikasi,False,Al-Balagh: Jurnal Dakwah dan Komunikasi,2527-5704,2018-11-07,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
al-hayat: journal of islamic education,False,Al-Hayat: Journal of Islamic Education,2599-3046,2020-03-24,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
al-idarah: jurnal kependidikan islam,False,Al-Idarah: Jurnal Kependidikan Islam,2580-2453,2020-02-10,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
al-jabar: jurnal pendidikan matematika,False,Al-Jabar: Jurnal Pendidikan Matematika,2540-7562,2021-01-28,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
al-mabsut,False,Al-Mabsut,2502-213X,2022-03-07,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
albanian journal of agricultural sciences,False,Albanian Journal of Agricultural Sciences,2218-2020,2017-07-31,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
alchemy: journal of chemistry,False,Alchemy: Journal of Chemistry,2460-6871,2022-03-07,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
alpha psychiatry,False,Alpha Psychiatry,2757-8038,2022-04-12,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
alternatives : turkish journal of international relations,False,Alternatives : Turkish Journal of International Relations,2146-0809,2017-02-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
alınteri zirai bilimleri dergisi,False,Alınteri Zirai Bilimleri Dergisi,2564-7814,2021-06-15,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
amasya universitesi egitim fakültesi dergisi,False,Amasya Universitesi Egitim Fakültesi Dergisi,2146-7811,2017-06-24,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
ambient science,False,Ambient Science,2348-5191,2019-01-04,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of agricultural and biological science,False,American Journal of Agricultural and Biological Science,1557-4989,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of analytical chemistry,False,American Journal of Analytical Chemistry," 2156-8251, 2156-8278",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of animal and veterinary sciences,False,American Journal of Animal and Veterinary Sciences,1557-4555,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of applied sciences,False,American Journal of Applied Sciences,1546-9239,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of biochemistry and biotechnology,False,American Journal of Biochemistry and Biotechnology,1553-3468,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of case reports,False,American Journal of Case Reports,1941-5923,2017-12-07,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
