Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
abei journal,True,ABEI Journal,1518-0581,1677-09-22,2020-10-13,Still in DOAJ index,DOAJ,https://www.revistas.usp.br/abei/,interesting reason
aboutopen,True,AboutOpen,2465-2628,1677-09-22,2019-11-20,Still in DOAJ index,DOAJ,https://journals.aboutscience.eu/index.php/aboutopen,interesting reason
abra,True,Abra,1409-3928,1677-09-22,2016-02-25,Still in DOAJ index,DOAJ,http://www.revistas.una.ac.cr/index.php/abra,interesting reason
abril,True,Abril,1984-2090,1677-09-22,2015-12-02,Still in DOAJ index,DOAJ,https://periodicos.uff.br/revistaabril,interesting reason
"abriu: estudos de textualidade do brasil, galicia e portugal",True,"Abriu: Estudos de Textualidade do Brasil, Galicia e Portugal",2014-8526,1677-09-22,2015-06-01,Still in DOAJ index,DOAJ,http://revistes.ub.edu/index.php/Abriu,interesting reason
abside,True,ABside,2704-8837,1677-09-22,2020-03-16,Still in DOAJ index,DOAJ,http://ojs.unica.it/index.php/abside/index,interesting reason
academia,True,Academia,2241-1402,1677-09-22,2019-06-04,Still in DOAJ index,DOAJ,http://academia.lis.upatras.gr/,interesting reason
academia lasalliana journal of education and humanities,True,Academia Lasalliana Journal of Education and Humanities,2799-144X,1677-09-22,2022-06-16,Still in DOAJ index,DOAJ,https://www.dlsud.edu.ph/aljeh/,interesting reason
academia: архитектура и строительство,True,Academia: Архитектура и строительство,2077-9038,1677-09-22,2018-10-16,Still in DOAJ index,DOAJ,http://aac.raasn.ru/,interesting reason
academic finance,True,Academic Finance,1923-2993,1677-09-22,2018-06-27,Still in DOAJ index,DOAJ,https://www.scientific-society.com/journal/index.php/AF,interesting reason
academic journal of modern philology,True,Academic Journal of Modern Philology,2299-7164,1677-09-22,2021-07-14,Still in DOAJ index,DOAJ,https://ajmp.uni.wroc.pl/,interesting reason
academic pathology,True,Academic Pathology,2374-2895,1677-09-22,2017-02-02,Still in DOAJ index,DOAJ,https://journals.sagepub.com/home/apc,interesting reason
academo,True,Academo,2414-8938,1677-09-22,2019-09-08,Still in DOAJ index,DOAJ,https://revistacientifica.uamericana.edu.py/index.php/academo/index,interesting reason
acarologia,True,Acarologia,0044-586X,1677-09-22,2022-02-12,Still in DOAJ index,DOAJ,http://www1.montpellier.inra.fr/CBGP/acarologia/index.php,interesting reason
acc journal,True,ACC Journal,1803-9782,1677-09-22,2018-07-19,Still in DOAJ index,DOAJ,https://acc-ern.tul.cz/en/acc-journal,interesting reason
accelerando: bjmd,True,Accelerando: BJMD,2466-3913,1677-09-22,2016-07-28,Still in DOAJ index,DOAJ,http://accelerandobjmd.weebly.com/,interesting reason
access microbiology,True,Access Microbiology,2516-8290,1677-09-22,2020-05-13,Still in DOAJ index,DOAJ,https://www.microbiologyresearch.org/content/journal/acmi,interesting reason
access to justice in eastern europe,True,Access to Justice in Eastern Europe,2663-0575,1677-09-22,2019-02-23,Still in DOAJ index,DOAJ,http://ajee-journal.com,interesting reason
acción,True,Acción,1812-5808,1677-09-22,2018-07-03,Still in DOAJ index,DOAJ,http://accion.uccfd.cu/index.php/accion,interesting reason
accounting,True,Accounting,2369-7393,1677-09-22,2017-11-26,Still in DOAJ index,DOAJ,http://growingscience.com/ac/ac.html,interesting reason
accounting analysis journal,True,Accounting Analysis Journal,2252-6765,1677-09-22,2015-10-22,Still in DOAJ index,DOAJ,http://journal.unnes.ac.id/sju/index.php/aaj,interesting reason
accounting and financial control,True,Accounting and Financial Control,2543-5485,1677-09-22,2018-12-17,Still in DOAJ index,DOAJ,https://businessperspectives.org/journals/j-accounting-and-financial-control?category_id=30,interesting reason
accounting profession journal (apaji),True,Accounting Profession Journal (APAJI),2686-0058,1677-09-22,2021-03-30,Still in DOAJ index,DOAJ,https://ojsapaji.org/index.php/apaji,interesting reason
accurate,True,Accurate,2722-5089,1677-09-22,2021-08-17,Still in DOAJ index,DOAJ,https://ejournal.pnc.ac.id/index.php/accurate/index,interesting reason
"ace: architecture, city and environment",True,"ACE: Architecture, City and Environment",1886-4805,1677-09-22,2016-01-08,Still in DOAJ index,DOAJ,https://revistes.upc.edu/index.php/ACE/index,interesting reason
aceh journal of animal science,True,Aceh Journal of Animal Science,2622-8734,1677-09-22,2020-09-14,Still in DOAJ index,DOAJ,http://jurnal.unsyiah.ac.id/AJAS/index,interesting reason
acg case reports journal,True,ACG Case Reports Journal,2326-3253,1677-09-22,2015-02-06,Still in DOAJ index,DOAJ,https://journals.lww.com/acgcr/pages/default.aspx,interesting reason
acitya,True,Acitya,2655-9722,1677-09-22,2021-03-15,Still in DOAJ index,DOAJ,https://journals.umkt.ac.id/index.php/acitya/index,interesting reason
acme,True,ACME,0001-494X,1677-09-22,2014-12-22,Still in DOAJ index,DOAJ,http://riviste.unimi.it/index.php/ACME,interesting reason
acoustics,True,Acoustics,2624-599X,1677-09-22,2019-11-26,Still in DOAJ index,DOAJ,https://www.mdpi.com/journal/acoustics,interesting reason
acque sotterranee,True,Acque Sotterranee,1828-454X,1677-09-22,2017-04-26,Still in DOAJ index,DOAJ,http://www.acquesotterranee.net/,interesting reason
acr open rheumatology,True,ACR Open Rheumatology,2578-5745,1677-09-22,2019-07-09,Still in DOAJ index,DOAJ,https://onlinelibrary.wiley.com/journal/25785745,interesting reason
acrn journal of finance and risk perspectives,True,ACRN Journal of Finance and Risk Perspectives,2305-7394,1677-09-22,2020-03-16,Still in DOAJ index,DOAJ,http://www.acrn-journals.eu/,interesting reason
acs bio & med chem au,True,ACS Bio & Med Chem Au,2694-2437,1677-09-22,2022-02-07,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/abmcb8,interesting reason
acs engineering au,True,ACS Engineering Au,2694-2488,1677-09-22,2022-01-13,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/aeacb3,interesting reason
acs environmental au,True,ACS Environmental Au,2694-2518,1677-09-22,2022-01-27,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/aeacc4,interesting reason
acs materials au,True,ACS Materials Au,2694-2461,1677-09-22,2021-11-17,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/amacgu,interesting reason
acs measurement science au,True,ACS Measurement Science Au,2694-250X,1677-09-22,2021-11-17,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/amachv,interesting reason
acs nanoscience au,True,ACS Nanoscience Au,2694-2496,1677-09-22,2022-03-08,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/anaccx,interesting reason
acs omega,True,ACS Omega,2470-1343,1677-09-22,2017-10-10,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/acsodf,interesting reason
acs organic & inorganic au,True,ACS Organic & Inorganic Au,2694-247X,1677-09-22,2022-01-13,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/aoiab5,interesting reason
acs physical chemistry au,True,ACS Physical Chemistry Au,2694-2445,1677-09-22,2022-01-27,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/apcach,interesting reason
acs polymers au,True,ACS Polymers Au,2694-2453,1677-09-22,2021-11-17,Still in DOAJ index,DOAJ,https://pubs.acs.org/journal/apaccd,interesting reason
acta academica,True,Acta Academica,0587-2405,1677-09-22,2020-06-02,Still in DOAJ index,DOAJ,http://journals.ufs.ac.za/index.php/aa/index,interesting reason
acta acustica,True,Acta Acustica,2681-4617,1677-09-22,2020-06-17,Still in DOAJ index,DOAJ,https://acta-acustica.edpsciences.org/,interesting reason
acta ad archaeologiam et artium historiam pertinentia,True,Acta ad Archaeologiam et Artium Historiam Pertinentia,2611-3686,1677-09-22,2021-12-06,Still in DOAJ index,DOAJ,https://journals.uio.no/acta/index,interesting reason
"acta agriculturae scandinavica. section b, soil and plant science",True,"Acta Agriculturae Scandinavica. Section B, Soil and Plant Science",1651-1913,1677-09-22,2022-05-16,Still in DOAJ index,DOAJ,https://www.tandfonline.com/SAGB,interesting reason
acta agriculturae serbica,True,Acta Agriculturae Serbica,0354-9542,1677-09-22,2017-07-09,Still in DOAJ index,DOAJ,http://scindeks.ceon.rs/journalDetails.aspx?issn=0354-9542&lang=en,interesting reason
acta agrophysica,True,Acta Agrophysica,1234-4125,1677-09-22,2020-04-28,Still in DOAJ index,DOAJ,http://www.acta-agrophysica.org/,interesting reason
acta angiologica,True,Acta Angiologica,1644-3276,1677-09-22,2016-04-06,Still in DOAJ index,DOAJ,https://journals.viamedica.pl/acta_angiologica,interesting reason
acta apicola brasilica,True,ACTA Apicola Brasilica,2358-2375,1677-09-22,2018-03-11,Still in DOAJ index,DOAJ,http://www.gvaa.com.br/revista/index.php/APB/index,interesting reason
acta aquatica,True,Acta Aquatica,2614-3178,1677-09-22,2018-08-21,Still in DOAJ index,DOAJ,http://ojs.unimal.ac.id/index.php/acta-aquatica,interesting reason
acta aquatica turcica,True,Acta Aquatica Turcica,2651-5474,1677-09-22,2019-04-04,Still in DOAJ index,DOAJ,http://dergipark.gov.tr/actaquatr,interesting reason
acta asiatica varsoviensia,True,Acta Asiatica Varsoviensia,0860-6102,1677-09-22,2020-06-09,Still in DOAJ index,DOAJ,http://aav.iksiopan.pl/index.php/en/,interesting reason
acta baltico-slavica,True,Acta Baltico-Slavica,0065-1044,1677-09-22,2015-03-31,Still in DOAJ index,DOAJ,https://ispan.waw.pl/journals/index.php/abs/index,interesting reason
acta biochimica indonesiana,True,Acta Biochimica Indonesiana,2654-3222,1677-09-22,2022-01-29,Still in DOAJ index,DOAJ,http://jurnal.pbbmi.org/,interesting reason
acta bioethica,True,Acta Bioethica,0717-5906,1677-09-22,2016-11-16,Still in DOAJ index,DOAJ,http://www.actabioethica.uchile.cl/,interesting reason
acta biologica,True,Acta Biologica,2353-3013,1677-09-22,2021-05-10,Still in DOAJ index,DOAJ,https://wnus.edu.pl/ab/en/,interesting reason
acta biologica sibirica,True,Acta Biologica Sibirica,2412-1908,1677-09-22,2017-04-06,Still in DOAJ index,DOAJ,https://abs.pensoft.net/,interesting reason
acta biológica colombiana,True,Acta Biológica Colombiana,0120-548X,1677-09-22,2015-10-05,Still in DOAJ index,DOAJ,http://www.revistas.unal.edu.co/index.php/actabiol,interesting reason
acta biomaterialia odontologica scandinavica,True,Acta Biomaterialia Odontologica Scandinavica,2333-7931,1677-09-22,2016-11-02,Still in DOAJ index,DOAJ,https://www.tandfonline.com/toc/iabo21/current,interesting reason
acta biomedica scientifica,True,Acta Biomedica Scientifica,2541-9420,1677-09-22,2018-05-08,Still in DOAJ index,DOAJ,http://actabiomedica.ru/en/,interesting reason
acta brasiliensis,True,Acta Brasiliensis,2526-432X,1677-09-22,2018-12-24,Still in DOAJ index,DOAJ,http://revistas.ufcg.edu.br/ActaBra,interesting reason
acta clinica croatica,True,Acta Clinica Croatica,0353-9466,1677-09-22,2018-07-15,Still in DOAJ index,DOAJ,https://hrcak.srce.hr/acta-clinica-croatica,interesting reason
acta colombiana de psicología,True,Acta Colombiana de Psicología,0123-9155,1677-09-22,2019-06-02,Still in DOAJ index,DOAJ,https://editorial.ucatolica.edu.co/ojsucatolica/revistas_ucatolica/index.php/acta-colombiana-psicologia/,interesting reason
acta commercii,True,Acta Commercii,1684-1999,1677-09-22,2016-03-30,Still in DOAJ index,DOAJ,https://actacommercii.co.za/index.php/acta,interesting reason
acta crystallographica section e: crystallographic communications,True,Acta Crystallographica Section E: Crystallographic Communications,2056-9890,1677-09-22,2015-11-20,Still in DOAJ index,DOAJ,https://journals.iucr.org/e/,interesting reason
acta didactica norden,True,Acta Didactica Norden,2535-8219,1677-09-22,2020-03-30,Still in DOAJ index,DOAJ,http://www.adno.no,interesting reason
acta economica,True,Acta Economica,1512-858X,1677-09-22,2019-05-27,Still in DOAJ index,DOAJ,http://ae.ef.unibl.org,interesting reason
acta economica et turistica,True,Acta Economica et Turistica,1849-921X,1677-09-22,2017-10-13,Still in DOAJ index,DOAJ,https://hrcak.srce.hr/en/aet,interesting reason
acta electrotechnica et informatica,True,Acta Electrotechnica et Informatica,1335-8243,1677-09-22,2017-07-19,Still in DOAJ index,DOAJ,http://aei.tuke.sk/,interesting reason
acta energetica,True,Acta Energetica,2300-3022,1677-09-22,2016-01-12,Still in DOAJ index,DOAJ,http://actaenergetica.org/en/,interesting reason
acta epileptologica,True,Acta Epileptologica,2524-4434,1677-09-22,2020-02-17,Still in DOAJ index,DOAJ,https://aepi.biomedcentral.com/,interesting reason
acta facultatis philosophicae universitatis ostraviensis. studia germanistica,True,Acta Facultatis Philosophicae Universitatis Ostraviensis. Studia Germanistica,1803-408X,1677-09-22,2021-02-25,Still in DOAJ index,DOAJ,https://studiagermanistica.osu.eu/,interesting reason
acta fakulty filozofické západočeské univerzity v plzni,True,Acta Fakulty filozofické Západočeské univerzity v Plzni,1802-0364,1677-09-22,2021-01-28,Still in DOAJ index,DOAJ,http://actaff.zcu.cz/,interesting reason
acta futura,True,Acta Futura,2309-1940,1677-09-22,2020-04-30,Still in DOAJ index,DOAJ,https://www.esa.int/gsp/ACT/resources/acta_futura/,interesting reason
acta fytotechnica et zootechnica,True,Acta Fytotechnica et Zootechnica,1335-258X,1677-09-22,2015-10-11,Still in DOAJ index,DOAJ,http://acta.fapz.uniag.sk/journal/index,interesting reason
acta geobalcanica,True,Acta Geobalcanica,1857-9833,1677-09-22,2019-07-29,Still in DOAJ index,DOAJ,http://acta.geobalcanica.info/,interesting reason
acta geodaetica et cartographica sinica,True,Acta Geodaetica et Cartographica Sinica,1001-1595,1677-09-22,2014-09-12,Still in DOAJ index,DOAJ,http://xb.sinomaps.com/EN/volumn/current.shtml,interesting reason
acta geographica universitatis comenianae,True,Acta Geographica Universitatis Comenianae,1338-6034,1677-09-22,2016-06-13,Still in DOAJ index,DOAJ,http://actageographica.sk/index.php,interesting reason
acta gymnica,True,Acta Gymnica,2336-4912,1677-09-22,2015-12-19,Still in DOAJ index,DOAJ,http://gymnica.upol.cz,interesting reason
acta histriae,True,Acta Histriae,2591-1767,1677-09-22,2020-04-14,Still in DOAJ index,DOAJ,https://zdjp.si/en/p/actahistriae/,interesting reason
acta iassyensia comparationis,True,Acta Iassyensia Comparationis,1584-6628,1677-09-22,2016-02-02,Still in DOAJ index,DOAJ,http://literaturacomparata.ro/aic/?page_id=157&lang=en,interesting reason
acta imeko,True,Acta IMEKO,0237-028X,1677-09-22,2022-02-01,Still in DOAJ index,DOAJ,https://acta.imeko.org/index.php/acta-imeko/index,interesting reason
acta infologica,True,Acta Infologica,2602-3563,1677-09-22,2021-09-29,Still in DOAJ index,DOAJ,https://iupress.istanbul.edu.tr/en/journal/acin/home,interesting reason
acta informatica malaysia,True,Acta Informatica Malaysia,2521-0505,1677-09-22,2018-06-08,Still in DOAJ index,DOAJ,https://actainformaticamalaysia.com/,interesting reason
acta innovations,True,Acta Innovations,2300-5599,1677-09-22,2018-01-22,Still in DOAJ index,DOAJ,http://www.proakademia.eu/en/acta-innovations/,interesting reason
acta iuris stetinensis,True,Acta Iuris Stetinensis,2083-4373,1677-09-22,2019-06-11,Still in DOAJ index,DOAJ,https://wnus.edu.pl/ais/pl/,interesting reason
acta judicial,True,Acta Judicial,2603-7173,1677-09-22,2019-06-05,Still in DOAJ index,DOAJ,http://www.letradosdejusticia.es/revistaactajudicial/index.php/raj/index,interesting reason
acta logistica,True,Acta Logistica,1339-5629,1677-09-22,2015-08-19,Still in DOAJ index,DOAJ,http://www.actalogistica.eu,interesting reason
acta marisiensis: seria technologica,True,Acta Marisiensis: Seria Technologica,2668-4217,1677-09-22,2019-08-26,Still in DOAJ index,DOAJ,http://scientificbulletin.upm.ro/,interesting reason
acta mechatronica,True,Acta Mechatronica,2453-7306,1677-09-22,2016-05-06,Still in DOAJ index,DOAJ,http://actamechatronica.eu,interesting reason
acta medica alanya,True,Acta Medica Alanya,2587-0319,1677-09-22,2020-05-20,Still in DOAJ index,DOAJ,https://dergipark.org.tr/en/pub/medalanya,interesting reason
acta medica bulgarica,True,Acta Medica Bulgarica,0324-1750,1677-09-22,2015-06-24,Still in DOAJ index,DOAJ,https://sciendo.com/journal/AMB,interesting reason
acta medica international,True,Acta Medica International,2349-0896,1677-09-22,2018-05-30,Still in DOAJ index,DOAJ,http://www.actamedicainternational.com/aboutus.asp,interesting reason
acta medica leopoliensia,True,Acta Medica Leopoliensia,1029-4244,1677-09-22,2021-09-12,Still in DOAJ index,DOAJ,https://amljournal.com/index.php/journal,interesting reason
acta medica lituanica,True,Acta Medica Lituanica,1392-0138,1677-09-22,2021-01-13,Still in DOAJ index,DOAJ,https://www.journals.vu.lt/AML/,interesting reason
acta medica medianae,True,Acta Medica Medianae,0365-4478,1677-09-22,2017-03-25,Still in DOAJ index,DOAJ,http://www.medfak.ni.ac.rs/amm,interesting reason
acta medico-historica adriatica,True,Acta Medico-Historica Adriatica,1334-4366,1677-09-22,2018-09-07,Still in DOAJ index,DOAJ,http://www.amha-journal.com/index.php/AMHA,interesting reason
acta medico-historica rigensia,True,Acta Medico-Historica Rigensia,1022-8012,1677-09-22,2018-02-03,Still in DOAJ index,DOAJ,https://www.rsu.lv/AMHR,interesting reason
acta metallurgica slovaca,True,Acta Metallurgica Slovaca,1335-1532,1677-09-22,2019-12-10,Still in DOAJ index,DOAJ,https://journal-ams.org/,interesting reason
acta montanistica slovaca,True,Acta Montanistica Slovaca,1335-1788,1677-09-22,2017-07-19,Still in DOAJ index,DOAJ,http://actamont.tuke.sk/index.html,interesting reason
acta musei porolissensis,True,Acta Musei Porolissensis,1016-2801,1677-09-22,2021-03-08,Still in DOAJ index,DOAJ,http://muzeuzalau.ro/acta-mvsei-porolissensis/,interesting reason
acta mycologica,True,Acta Mycologica,0001-625X,1677-09-22,2014-05-29,Still in DOAJ index,DOAJ,https://pbsociety.org.pl/journals/index.php/am/index,interesting reason
acta médica costarricense,True,Acta Médica Costarricense,0001-6012,1677-09-22,2020-12-22,Still in DOAJ index,DOAJ,http://actamedica.medicos.cr/index.php/Acta_Medica/index,interesting reason
acta médica del centro,True,Acta Médica del Centro,2709-7927,1677-09-22,2021-08-31,Still in DOAJ index,DOAJ,http://www.revactamedicacentro.sld.cu/index.php/amc/index,interesting reason
acta médica peruana,True,Acta Médica Peruana,1018-8800,1677-09-22,2020-10-24,Still in DOAJ index,DOAJ,https://amp.cmp.org.pe/,interesting reason
acta neophilologica,True,Acta Neophilologica,0567-784X,1677-09-22,2015-11-07,Still in DOAJ index,DOAJ,http://revije.ff.uni-lj.si/ActaNeophilologica,interesting reason
acta odontologica turcica,True,Acta Odontologica Turcica,2147-690X,1677-09-22,2016-02-04,Still in DOAJ index,DOAJ,https://dergipark.org.tr/en/pub/gaziaot,interesting reason
acta oto-laryngologica case reports,True,Acta Oto-Laryngologica Case Reports,2377-2484,1677-09-22,2017-09-04,Still in DOAJ index,DOAJ,http://www.tandfonline.com/ICRO,interesting reason
acta paedagogica vilnensia,True,Acta Paedagogica Vilnensia,1392-5016,1677-09-22,2019-03-12,Still in DOAJ index,DOAJ,http://www.journals.vu.lt/acta-paedagogica-vilnensia,interesting reason
acta pediátrica de méxico,True,Acta Pediátrica de México,0186-2391,1677-09-22,2015-07-20,Still in DOAJ index,DOAJ,http://www.actapediatrica.org.mx,interesting reason
acta periodica duellatorum,True,Acta Periodica Duellatorum,2064-0404,1677-09-22,2016-03-20,Still in DOAJ index,DOAJ,https://bop.unibe.ch/apd/index,interesting reason
acta politica polonica,True,Acta Politica Polonica,2451-0432,1677-09-22,2021-03-29,Still in DOAJ index,DOAJ,https://wnus.edu.pl/ap/en/,interesting reason
acta politologica,True,Acta Politologica,1804-1302,1677-09-22,2019-04-16,Still in DOAJ index,DOAJ,https://acpo.fsv.cuni.cz/ACPONEN-1.html,interesting reason
acta polytechnica ctu proceedings,True,Acta Polytechnica CTU Proceedings,2336-5382,1677-09-22,2017-09-25,Still in DOAJ index,DOAJ,https://ojs.cvut.cz/ojs/index.php/APP,interesting reason
acta psychologica,True,Acta Psychologica,1873-6297,1677-09-22,2021-02-12,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/acta-psychologica,interesting reason
acta radiologica open,True,Acta Radiologica Open,2058-4601,1677-09-22,2015-11-25,Still in DOAJ index,DOAJ,https://journals.sagepub.com/home/arr,interesting reason
acta scientiarum polonorum zootechnica,True,Acta Scientiarum Polonorum Zootechnica,2300-6145,1677-09-22,2016-01-27,Still in DOAJ index,DOAJ,http://asp.zut.edu.pl/,interesting reason
acta scientiarum polonorum. formatio circumiectus,True,Acta Scientiarum Polonorum. Formatio Circumiectus,1644-0765,1677-09-22,2017-02-08,Still in DOAJ index,DOAJ,http://acta.urk.edu.pl/,interesting reason
acta scientiarum polonorum. oeconomia,True,Acta Scientiarum Polonorum. Oeconomia,1644-0757,1677-09-22,2020-11-24,Still in DOAJ index,DOAJ,https://aspe.sggw.pl//home,interesting reason
acta scientifica malaysia,True,Acta Scientifica Malaysia,2521-506X,1677-09-22,2018-06-08,Still in DOAJ index,DOAJ,https://actascientificamalaysia.com/,interesting reason
acta silvae et ligni,True,Acta Silvae et Ligni,2335-3953,1677-09-22,2020-05-05,Still in DOAJ index,DOAJ,http://asetl.si/,interesting reason
acta simulatio,True,Acta Simulatio,1339-9640,1677-09-22,2016-05-06,Still in DOAJ index,DOAJ,http://actasimulatio.eu,interesting reason
acta sting,True,Acta Sting,1805-6873,1677-09-22,2020-05-13,Still in DOAJ index,DOAJ,https://www.sting.cz/acta-sting-en/,interesting reason
acta stomatologica marisiensis,True,Acta Stomatologica Marisiensis,2601-6877,1677-09-22,2022-02-04,Still in DOAJ index,DOAJ,https://sciendo.com/journal/ASMJ,interesting reason
acta stomatologica naissi,True,Acta Stomatologica Naissi,0352-5252,1677-09-22,2017-07-16,Still in DOAJ index,DOAJ,http://scindeks.ceon.rs/journalDetails.aspx?issn=0352-5252&lang=en,interesting reason
acta structilia,True,Acta Structilia,1023-0564,1677-09-22,2018-11-09,Still in DOAJ index,DOAJ,http://journals.ufs.ac.za/index.php/as,interesting reason
acta technica jaurinensis,True,Acta Technica Jaurinensis,2064-5228,1677-09-22,2020-09-11,Still in DOAJ index,DOAJ,https://acta.sze.hu/index.php/acta,interesting reason
acta technologica agriculturae,True,Acta Technologica Agriculturae,1338-5267,1677-09-22,2015-09-18,Still in DOAJ index,DOAJ,https://sciendo.com/journal/ATA,interesting reason
acta tecnología,True,Acta Tecnología,2453-675X,1677-09-22,2016-05-06,Still in DOAJ index,DOAJ,http://actatecnologia.eu,interesting reason
acta theologica,True,Acta Theologica,2309-9089,1677-09-22,2022-06-09,Still in DOAJ index,DOAJ,https://journals.ufs.ac.za/index.php/at,interesting reason
acta universitatis agriculturae et silviculturae mendelianae brunensis,True,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,1211-8516,1677-09-22,2017-04-18,Still in DOAJ index,DOAJ,http://acta.mendelu.cz/,interesting reason
